"","pageid","session","party","constituency","constituency2","session_start","session_end","service","country","wikidataid","wikititle","name","sex","ethnicity","religion","birth","death","birthplace","deathplace","twitter"
"75","19139923",5,"Scottish Labour Party","Glasgow","Regional",2016-05-05,2021-05-06,1827,"SCO","Q478812","Anas_Sarwar","Anas Sarwar","male","asian","islam",1983-03-14,NA,"55.87,-4.27",NA,"anassarwar"
"76","1627946",5,"Scottish Liberal Democrats","Shetland","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q1339371","Tavish_Scott","Tavish Scott","male","white",NA,1966-05-06,NA,"57.48389,-4.22583",NA,"tavishscott"
"77","50447717",5,"Scottish Conservative and Unionist Party","Central Scotland","Regional",2016-05-05,2021-05-06,1827,"SCO","Q24039900","Graham_Simpson_(Scottish_politician)","Graham Simpson","male","white",NA,NA,NA,"57.15,-2.1",NA,"grahamsmsp"
"78","11107591",5,"Scottish Conservative and Unionist Party","Mid Scotland and Fife","Regional",2016-05-05,2021-05-06,1827,"SCO","Q644208","Liz_Smith_(politician)","Elizabeth Smith","female","white",NA,1960-02-27,NA,"55.95,-3.19889",NA,"mspliz"
"79","50453527",5,"Scottish Labour Party","South Scotland","Regional",2016-05-05,2021-05-06,1827,"SCO","Q24036539","Colin_Smyth","Colin Smyth","male",NA,NA,NA,NA,NA,NA,"colinsmythmsp"
"80","12826476",5,"Scottish National Party","Dunfermline","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q2279359","Shirley-Anne_Somerville","Shirley-Anne Somerville","female","white",NA,1974-09-02,NA,"56.11073,-3.16737",NA,"s_a_somerville"
"81","450492",5,"Scottish Labour Party","Highlands and Islands","Regional",2016-05-05,2021-05-06,1827,"SCO","Q1176741","David_Stewart_(Scottish_politician)","David Stewart","male","white",NA,1956-05-05,NA,"57.48389,-4.22583",NA,"davidstewartmsp"
"82","31692389",5,"Scottish National Party","Aberdeen Central","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q1740263","Kevin_Stewart_(Scottish_politician)","Kevin Stewart","male","white",NA,1968-06-03,NA,"57.15,-2.1",NA,"kevinstewartsnp"
"83","579570",5,"Scottish National Party","Glasgow Southside","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q467112","Nicola_Sturgeon","Nicola Sturgeon","female","white","protestant reformed",1970-07-19,NA,"55.61944,-4.66111",NA,"nicolasturgeon"
"84","236940",5,"Scottish National Party","Perthshire North","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q333811","John_Swinney","John Swinney","male","white",NA,1964-04-13,NA,"55.95,-3.19889",NA,"johnswinney"
"85","50443588",5,"Scottish National Party","Highlands and Islands","Regional",2016-05-05,2021-05-06,1827,"SCO","Q24034387","Maree_Todd","Maree Todd","female","white",NA,NA,NA,NA,NA,"mareetoddmsp"
"86","23026296",5,"Scottish Conservative and Unionist Party","Glasgow","Regional",2016-05-05,2021-05-06,1827,"SCO","Q4679900","Adam_Tomkins","Adam Tomkins","male","white",NA,1969-06-28,NA,NA,NA,"proftomkins"
"87","31738649",5,"Scottish National Party","Kirkcaldy","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q1176878","David_Torrance_(politician)","David Torrance ","male","white",NA,1961-03-13,NA,"56.11073,-3.16737",NA,"davidhtorrance"
"88","4840186",5,"Scottish National Party","Aberdeen South and North Kincardine","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q540381","Maureen_Watt","Maureen Watt","female","white",NA,1951-06-23,NA,"57.15,-2.1",NA,"maureensnp"
"89","50442511",5,"Scottish Conservative and Unionist Party","Glasgow","Regional",2016-05-05,2021-05-06,1827,"SCO","Q24052671","Annie_Wells_(politician)","Annie Wells","female","white",NA,1972-02-24,NA,"55.87,-4.27",NA,"anniewellsmsp"
"90","31775933",5,"Scottish National Party","South Scotland","Regional",2016-05-05,2021-05-06,1827,"SCO","Q2063093","Paul_Wheelhouse","Paul Wheelhouse","male","white",NA,1970-06-22,NA,"54.59667,-5.93833",NA,"paulwheelhouse"
"91","579568",5,"Scottish National Party","Glasgow Kelvin","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q466861","Sandra_White","Sandra White","female","white",NA,1951-08-17,NA,"55.87,-4.27",NA,"sandrawhitesnp"
"92","28401632",5,"Scottish Conservative and Unionist Party","South Scotland","Regional",2016-05-05,2021-05-06,1827,"SCO","Q514743","Brian_Whittle","Brian Whittle","male","white",NA,1964-04-26,NA,"55.46389,-4.62778",NA,"brianwhittle"
"93","45469437",5,"Scottish Green Party","Lothian","Regional",2016-05-05,2021-05-06,1827,"SCO","Q19667404","Andy_Wightman","Andy Wightman","male","white",NA,1963-05-29,NA,"56.464,-2.97",NA,"andywightman"
"94","31697554",5,"Scottish National Party","Glasgow Pollok","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q174924","Humza_Yousaf","Humza Yousaf","male","asian","islam",1985-04-07,NA,"55.87,-4.27",NA,"humzayousaf"
"95","11051298",5,"Scottish Conservative and Unionist Party","Ettrick, Roxburgh and Berwickshire","Constituency",2016-05-05,2021-05-06,364,"SCO","Q1700778","John_Lamont_(Scottish_politician)","John Lamont","male","white",NA,1976-04-15,NA,"55.65,-4.7",NA,"john2win"
"96","50446519",5,"Scottish Conservative and Unionist Party","Highlands and Islands","Regional",2016-05-05,2021-05-06,404,"SCO","Q24039769","Douglas_Ross_(Scottish_politician)","Douglas Ross","male","white",NA,1983-04-09,NA,"57.41667,-3.25",NA,"douglas4moray"
